session,episode_index,task,manner,operator_id,n_frames,n_contact_frames,mean_contact_force_n,peak_contact_force_n
demo1,2,wipe the blue mark normally,normally,A,168,138,7.936491761190313,16.012334040463728
demo1,3,wipe the black mark normally,normally,A,212,174,6.903277789534832,14.499785642805563
demo1,4,wipe the black mark normally,normally,A,158,129,8.295414215365513,15.807397682701243
demo1,5,wipe the green mark normally,normally,A,172,145,6.575614503478725,21.725905644346
demo1,7,wipe the red mark normally,normally,A,161,134,7.925572837093142,16.166552029005587
demo1,8,wipe the red mark normally,normally,A,146,122,7.24695129216475,18.70259971678466
demo1,10,wipe the blue mark normally,normally,A,118,97,7.1865033317946265,15.605567671576372
demo1,11,wipe the green mark normally,normally,A,139,122,7.612304844265957,14.451577811725349
demo1,12,wipe the green mark firmly,firmly,A,117,98,12.488300752938647,35.16313151333278
demo1,13,wipe the black mark firmly,firmly,A,119,83,14.291957078949004,31.334219875237107
demo1,14,wipe the red mark firmly,firmly,A,105,85,11.990567566468476,26.62598593634254
demo1,15,wipe the green mark firmly,firmly,A,110,84,11.584582735979762,27.45706333761104
demo1,16,wipe the green mark normally,normally,A,150,124,7.890791066913474,18.16011210309614
demo1,17,wipe the blue mark normally,normally,A,169,133,9.096764150829705,21.678963622461655
demo1,18,wipe the black mark normally,normally,A,119,94,7.8798961840000805,21.778449822323086
demo1,19,wipe the red mark normally,normally,A,196,162,9.587027352866315,17.785724916687215
demo1,20,wipe the red mark firmly,firmly,A,105,96,11.383601672310574,34.876352263088755
demo1,21,wipe the green mark firmly,firmly,A,106,72,14.633954930557183,42.39009276983191
demo1,22,wipe the blue mark firmly,firmly,A,130,110,13.918647103766995,31.377970728034537
demo1,27,wipe the black mark firmly,firmly,A,98,77,11.857740498036618,35.11180337310654
demo3,1,wipe the green mark normally,normally,B,372,249,6.829039732506638,22.20094396773361
demo3,2,wipe the blue mark normally,normally,B,212,175,7.258616079486141,21.004001010444686
demo3,3,wipe the black mark normally,normally,B,236,187,7.970767132452679,19.656187367705545
demo3,4,wipe the black mark normally,normally,B,199,155,6.851929099763776,19.94650822974996
demo3,5,wipe the green mark normally,normally,B,211,175,8.160536354417923,26.119892617739968
demo3,7,wipe the red mark normally,normally,B,216,171,8.568275288668989,22.39633491858014
demo3,8,wipe the black mark normally,normally,B,199,148,6.954637289752367,21.90992911766934
demo3,9,wipe the red mark normally,normally,B,194,134,7.085435477565119,27.749853546364573
demo3,10,wipe the green mark normally,normally,B,191,159,7.031877597134363,19.17289198412229
demo3,11,wipe the blue mark normally,normally,B,171,143,7.2206246520089055,21.90960043300605
demo3,12,wipe the green mark normally,normally,B,173,128,7.4661137686018435,21.376716157517304
demo3,13,wipe the blue mark normally,normally,B,185,145,7.518496539415217,27.31313065147254
demo3,14,wipe the black mark normally,normally,B,179,152,8.500777910172925,20.98846372903187
demo3,15,wipe the red mark normally,normally,B,219,165,7.39170232313702,19.96034932071295
demo3,16,wipe the green mark firmly,firmly,B,136,112,13.184715969813235,44.73620464245268
demo3,17,wipe the blue mark firmly,firmly,B,163,129,11.381128283856702,43.23931994559808
demo3,18,wipe the black mark firmly,firmly,B,160,129,11.306958686492122,42.98765946085006
demo3,19,wipe the red mark firmly,firmly,B,170,126,13.886650905553143,39.45244099240897
demo3,20,wipe the red mark firmly,firmly,B,209,115,13.918113250872342,49.96178688881213
demo3,21,wipe the green mark firmly,firmly,B,144,120,14.696356591978583,54.495495551574564
demo3,22,wipe the blue mark firmly,firmly,B,138,125,12.723123105393627,43.28370682183204
demo3,23,wipe the black mark firmly,firmly,B,155,136,13.703811036558124,49.06193336415398
demo3,24,wipe the black mark firmly,firmly,B,156,124,16.25701048355397,58.72301825390763
demo3,26,wipe the blue mark firmly,firmly,B,173,139,13.955106291216472,42.038309759691316
demo3,27,wipe the red mark firmly,firmly,B,185,138,15.923012712483938,45.376104325011156
demo3,28,wipe the black mark firmly,firmly,B,140,110,14.366816868007259,52.89970086396925
demo3,29,wipe the red mark firmly,firmly,B,157,116,21.984717863084228,60.81849553132674
demo3,30,wipe the green mark firmly,firmly,B,158,125,15.464930153059493,53.78323167310132
demo3,31,wipe the blue mark firmly,firmly,B,189,140,16.848455959999054,53.667707060378945
demo4,1,wipe the red mark normally,normally,A,184,160,8.960372357007724,18.43030581255373
demo4,4,wipe the black mark normally,normally,A,114,89,7.769708391257353,17.901985893450103
demo4,6,wipe the blue mark normally,normally,A,131,111,8.42851078865088,17.330413810320568
demo4,7,wipe the red mark normally,normally,A,149,129,8.295176652844345,15.389622918045776
demo4,8,wipe the red mark normally,normally,A,134,106,8.321470944883817,19.85999772134906
demo4,9,wipe the green mark normally,normally,A,126,105,8.722329670521205,20.557404494396135
demo4,10,wipe the blue mark normally,normally,A,110,86,7.206077112181948,19.791460712076745
demo4,11,wipe the black mark normally,normally,A,124,98,6.620281807814763,19.140970728527083
demo4,12,wipe the green mark normally,normally,A,116,91,7.869737847651562,21.531863469000577
demo4,13,wipe the blue mark normally,normally,A,113,82,7.829006983975517,22.572001282866605
demo4,14,wipe the black mark normally,normally,A,106,86,7.036915470557267,15.004577600576706
demo4,15,wipe the red mark normally,normally,A,128,105,7.252349672710506,18.434516676776393
demo4,16,wipe the red mark firmly,firmly,A,92,69,11.709797866812368,37.41388403973983
demo4,17,wipe the green mark firmly,firmly,A,94,71,11.33733476710645,32.56906602062159
demo4,18,wipe the blue mark firmly,firmly,A,94,76,9.276498407734023,24.441074915140653
demo4,19,wipe the black mark firmly,firmly,A,95,76,8.993439635170374,29.302422709486414
demo4,20,wipe the black mark firmly,firmly,A,81,66,11.847235039625179,36.85471166622527
demo4,21,wipe the green mark firmly,firmly,A,73,55,11.944809007856126,28.915950028464625
demo4,22,wipe the blue mark firmly,firmly,A,98,78,11.438544900272024,30.569817778685966
demo4,23,wipe the red mark firmly,firmly,A,97,83,9.591160859589165,26.860840673808905
demo4,24,wipe the black mark firmly,firmly,A,104,76,11.394903869372534,33.766705235964
demo4,25,wipe the red mark firmly,firmly,A,101,78,10.900593303017224,27.696482859600536
demo4,26,wipe the green mark firmly,firmly,A,102,91,8.487945313668002,25.13395352788038
demo4,27,wipe the blue mark firmly,firmly,A,96,82,10.35755900217759,32.88682686937905
demo4,28,wipe the green mark firmly,firmly,A,91,61,8.88599141355357,29.36112995914297
demo4,29,wipe the blue mark firmly,firmly,A,109,89,13.493951851844974,31.740922118632955
demo4,30,wipe the black mark firmly,firmly,A,88,67,10.709154470292075,35.82758298728306
demo4,31,wipe the red mark firmly,firmly,A,95,73,10.79319211029074,31.625130895260405
